PACKET SENT	:	a	:	2018-09-29 19:17:14.061515
PACKET SENT	:	a	:	2018-09-29 19:17:14.066948
PACKET RECEIVED	:	a	:	2018-09-29 19:17:14.131828
PACKET RECEIVED	:	a	:	2018-09-29 19:17:14.179575
PACKET SENT	:	e	:	2018-09-29 19:17:15.062606
PACKET RECEIVED	:	e	:	2018-09-29 19:17:15.064741
PACKET SENT	:	e	:	2018-09-29 19:17:15.068767
PACKET RECEIVED	:	e	:	2018-09-29 19:17:15.071459
PACKET SENT	:	i	:	2018-09-29 19:17:16.063784
PACKET RECEIVED	:	i	:	2018-09-29 19:17:16.064236
PACKET SENT	:	i	:	2018-09-29 19:17:16.070127
PACKET RECEIVED	:	i	:	2018-09-29 19:17:16.070943
PACKET SENT	:	o	:	2018-09-29 19:17:17.064726
PACKET RECEIVED	:	o	:	2018-09-29 19:17:17.065126
PACKET SENT	:	o	:	2018-09-29 19:17:17.071246
PACKET RECEIVED	:	o	:	2018-09-29 19:17:17.072298
PACKET SENT	:	u	:	2018-09-29 19:17:18.065921
PACKET RECEIVED	:	u	:	2018-09-29 19:17:18.067413
PACKET SENT	:	u	:	2018-09-29 19:17:18.071520
PACKET RECEIVED	:	u	:	2018-09-29 19:17:18.072084
